unidade_federativa,municipio,IBGE,populacao,valor_total_previsto,valor_total_01,valor_centavos,status_implantacao,pontos_atendidos,valor_investido,valor_investido_01,valor_investido_em_centavos
AC,Tarauacá,1200609,38819,"484.547,10",484.547,10,Sem Previsão,1,"0,0",0,0
AL,Delmiro Gouveia,2702405,51997,"1.169.381,70",1.169.381,70,Sem Previsão,43,"0,0",0,0
AL,Estrela de Alagoas,2702553,18306,"527.206,83",527.206,83,Sem Previsão,39,"0,0",0,0
AM,Autazes,1300300,37033,"1.171.151,92",1.171.151,92,Sem Previsão,51,"0,0",0,0
AM,Benjamin Constant,1300607,39484,"844.586,48",844.586,48,Sem Previsão,12,"0,0",0,0
AM,Careiro,1301100,36435,"748.797,8",748.797,8,Sem Previsão,17,"0,0",0,0
AM,Coari,1301209,83078,"814.954,75",814.954,75,Concluída,27,"0,0",0,0
AM,Codajás,1301308,26777,"757.706,74",757.706,74,Sem Previsão,36,"0,0",0,0
AM,Iranduba,1301852,45984,"800.655,2",800.655,2,Sem Previsão,30,"0,0",0,0
AM,Manacapuru,1302504,94175,"892.096,87",892.096,87,Concluída,31,"763009,3",763009,3
AM,Manaquiri,1302553,28413,"636.682,15",636.682,15,Concluída,21,"0,0",0,0
AM,Maraã,1302801,18423,"427.516,78",427.516,78,Sem Previsão,21,"0,0",0,0
AP,Amapá,1600105,8622,"459.24,58",459.24,58,Sem Previsão,15,"0,0",0,0
AP,Laranjal do Jari,1600279,45712,"896.578,6",896.578,6,Sem Previsão,17,"0,0",0,0
AP,Mazagão,1600402,19571,"594.149,70",594.149,70,Sem Previsão,20,"0,0",0,0
AP,Porto Grande,1600535,19669,"800.403,50",800.403,50,Sem Previsão,22,"96.748,0",96.748,0
AP,Serra do Navio,1600055,4938,"590.073,15",590.073,15,Concluída,21,"495899,0",495899,0
AP,Vitória do Jari,1600808,14364,"687.756,22",687.756,22,Sem Previsão,7,"0,0",0,0
BA,Abaré,2900207,19574,"490.227,43",490.227,43,Sem Previsão,23,"0,0",0,0
BA,Anagé,2901205,20096,"510.328,56",510.328,56,Sem Previsão,15,"0,0",0,0
BA,Anguera,2901502,11299,"441.915,4",441.915,4,Sem Previsão,20,"0,0",0,0
BA,Baianópolis,2902500,14195,"499.499,12",499.499,12,Sem Previsão,24,"0,0",0,0
BA,Barra,2902708,54188,"1.210.503,86",1.210.503,86,Sem Previsão,46,"0,0",0,0
BA,Barra do Choca,2902906,34853,"747.99,32",747.99,32,Sem Previsão,23,"0,0",0,0
BA,Boa Vista do Tupim,2903805,18658,"548.582,5",548.582,5,Sem Previsão,28,"0,0",0,0
BA,Bom Jesus da Serra,2903953,10554,"413.597,59",413.597,59,Sem Previsão,16,"0,0",0,0
BA,Brejolândia,2904407,10698,"437.37,14",437.37,14,Sem Previsão,17,"0,0",0,0
BA,Buritirama,2904753,21549,"486.364,54",486.364,54,Sem Previsão,20,"0,0",0,0
BA,Coronel João Sá,2909208,17098,"623.361,8",623.361,8,Sem Previsão,27,"0,0",0,0
BA,Cotegipe,2909406,14403,"687.927,70",687.927,70,Sem Previsão,36,"0,0",0,0
BA,Curaçá,2909901,35208,"544.494,5",544.494,5,Sem Previsão,13,"0,0",0,0
BA,Encruzilhada,2910404,20331,"401.38,67",401.38,67,Sem Previsão,17,"0,0",0,0
BA,Guanambi,2911709,85797,"533.416,18",533.416,18,Concluída,15,"441985,58",441985,58
BA,Guaratinga,2911808,22355,"464.626,92",464.626,92,Sem Previsão,17,"0,0",0,0
BA,Itaberaba,2914703,66310,"533.277,38",533.277,38,Concluída,16,"409445,98",409445,98
